TAZ,HBWP,NHBP,HBOP
1,769.495,406.865,1743.958
2,152.192,80.298,418.424
3,338.636,182.184,766.206
4,1450.37,739.852,2909.134
5,725.816,363.01,1570.593
6,406.878,205.363,784.876
7,97.727,54.027,202.747
8,775.799,404.115,1909.467
9,583.052,288.655,1096.787
10,1083.207,547.205,2300.442
11,361.239,184.509,895.515
12,490.437,256.138,1271.898
13,391.439,203.265,962.689
14,721.592,376.278,1593.64
15,586.739,304.091,1388.868
16,428.735,221.475,1088.085
17,58.168,29.253,116.197
18,441.519,228.599,979.516
19,347.949,177.212,774.234
20,263.571,138.149,659.535
21,449.444,244.194,800.964
22,219.492,124.823,651.827
23,338.108,193.322,835.827
24,253.816,144.797,655.535
25,761.979,386.147,1603.22
26,555.565,276.346,1030.791
27,729.967,392.24,1603.064
28,600.669,317.127,1381.211
29,467.204,251.249,1206.296
30,765.444,390.625,1581.976
31,809.251,420.705,1998.247
32,649.631,325.028,1260.534
33,396.571,204.368,811.709
34,627.778,324.924,1436.361
35,658.912,333.89,1315.795
36,1700.359,898.9,3495.877
37,185.874,90.732,321.345
38,0,0,0
39,1559.113,866.849,3100.61
40,2259.438,1184.902,5070.872
41,1045.459,559.036,2472.167
42,648.959,350.019,1525.266
43,2411.849,1291.503,5013.101
44,1479.135,744.716,3098.702
45,1743.578,912.323,4191.693
46,869.515,453.356,2173.526
47,276.506,142.498,726.652
48,30.426,16.773,64.491
49,124.42,75.421,584.24
50,1185.135,599.837,2368.445
51,424.403,219.622,935.289
52,854.636,422.812,1666.299
53,373.151,196.316,1003.744
54,484.886,248.853,1091.809
55,617.408,315.325,1319.07
56,742.136,369.589,1413.795
57,810.69,432.943,1799.753
58,1456.069,737.5,2866.842
59,1246.864,646.924,2740.898
60,88.546,49.448,217.872
61,44.221,25.315,150.165
62,366.007,197.792,691.475
63,976.464,523.818,2091.678
64,1187.843,622.49,2433.958
65,713.705,409.85,1607.1
66,834.36,458.897,2241.491
67,472.731,246.843,1168.948
68,1498.884,751.542,2516.439
69,958.928,493.458,1951.342
70,770.851,402.108,1713.134
